Name,Rating,Review,Clean_Review,Polarity,Sentiment,Review_Length
VinodKUMAR VinodKUMAR,4.0,Nice phone good,nice phone good,0.6499999999999999,Positive,15
Suman Jain,5.0,Simply Awesome 🤩,simply awesome,1.0,Positive,16
Amit Biswas,5.0,A Perfect Smartphone 😍❤️👌👌,a perfect smartphone,1.0,Positive,26
Zeeshan Khan,5.0,Awesome quality I am very happy. Thank you Flipkart.,awesome quality i am very happy thank you flipkart,1.0,Positive,52
Khushboo Verma,5.0,Great experience,great experience,0.8,Positive,16
dr sachchidanand  pardeshi,5.0,Very good quality,very good quality,0.9099999999999999,Positive,17
Sunny  Patel,5.0,Loved it 🥰,loved it,0.7,Positive,10
Anwar Customer,5.0,Only 90fps is needAnd best phone of the year goes to this phone,only fps is needand best phone of the year goes to this phone,0.5,Positive,63
Bhaskar Sharma,5.0,Awesome,awesome,1.0,Positive,7
SONAL PAL,5.0,Awesome phone powerful performance and battery backup are also very good no heating issue ☺️,awesome phone powerful performance and battery backup are also very good no heating issue,0.7366666666666667,Positive,92
Praveen Kumar,5.0,This is my first iphone ever used loving it already this is worth it 🥰,this is my first iphone ever used loving it already this is worth it,0.3833333333333333,Positive,70
Varsha Sadanand Salve,5.0,"The iPhone 15 exceeded my expectations in every way possible. The sleek design, stunning display, and lightning-fast performance make it a standout device in the smartphone market. The camera quality is unparalleled, capturing every moment with incredible detail and clarity. Plus, the battery life is impressive, easily lasting me throughout the day.With the added bonus of a great deal and discount, purchasing the iPhone 15 from Flipkart was an absolute steal.",the iphone exceeded my expectations in every way possible the sleek design stunning display and lightningfast performance make it a standout device in the smartphone market the camera quality is unparalleled capturing every moment with incredible detail and clarity plus the battery life is impressive easily lasting me throughout the daywith the added bonus of a great deal and discount purchasing the iphone from flipkart was an absolute steal,0.48571428571428577,Positive,463
Akash  Deep,5.0,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium image,camera is just wow all classes clicks are done at nightphone performance is awesome im writing now again for reviewits really maintained its premium image,0.43333333333333335,Positive,168
Flipkart Customer,5.0,Best for regular usage,best for regular usage,0.5,Positive,22
Jayanta  Roy,5.0,Nice 🙂🙂🙂🙂🙂,nice,0.6,Positive,10
Sajib Das,5.0,moving from android to apple is a surreal experience. still apple could focus on more flexibility towards the apps.,moving from android to apple is a surreal experience still apple could focus on more flexibility towards the apps,0.375,Positive,115
Flipkart Customer,5.0,Camera 🔥,camera,0.0,Negative,8
Jayanth Jai,5.0,Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing 🔥,their is nothing to explain about apple iphone nowadays everyone knows when ur comes to iphone is just amazing,0.6000000000000001,Positive,115
Anubhav Chauhan,5.0,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the iosIt is really very nice and feels premium. The camera is also very nice. I am fully satisfied with this purchase.",i have recently switched from android to ios it does feel very strange at the beginning but now i am getting habitual to the iosit is really very nice and feels premium the camera is also very nice i am fully satisfied with this purchase,0.399,Positive,241
SYAM SUNDER,5.0,Camera is so good,camera is so good,0.7,Positive,17
Shubhanker  Singh,5.0,Simply wow wow wow 😍❤️,simply wow wow wow,0.10000000000000002,Positive,22
ANUP SINGH GAUTAM,5.0,Absolutely gorgeous 😻,absolutely gorgeous,0.7,Positive,21
SANDEEP SOMAN,5.0,48 megapixel is lit🔥Thin bessels compared to 14Lesser in weightDynamic Island works perfectlyGood battery backup ⚡My rating 5/5,megapixel is litthin bessels compared to lesser in weightdynamic island works perfectlygood battery backup my rating,0.0,Negative,127
Akhilesh Bepari,5.0,It's performance is super and nice camera also a ok battery backup..,its performance is super and nice camera also a ok battery backup,0.4777777777777778,Positive,68
Swarnima Customer,5.0,I recently went on a trip with a friend who has S24 ultra but somehow we ended up clicking all the pictures with my Iphone 15. The camera is that good.,i recently went on a trip with a friend who has s ultra but somehow we ended up clicking all the pictures with my iphone the camera is that good,0.35,Positive,151
Bibhu Prasad  Bisoyi,5.0,Nice Product Thanks for FlipkartCamera 10/10Battery 8/10Display 10/10,nice product thanks for flipkartcamera battery display,0.4,Positive,69
Yash saini,5.0,Battery lasted longer than my first relationship (4days). Listening to arijit singh songs on full volume since then still isn't getting over. Has more warmth than her. Unlike her there's two way communication here as touchpad is very responsive . Fingerprint unlock is nice as it only opens up to me. 5 Star for this -1 for Shivanshi,battery lasted longer than my first relationship days listening to arijit singh songs on full volume since then still isnt getting over has more warmth than her unlike her theres two way communication here as touchpad is very responsive fingerprint unlock is nice as it only opens up to me star for this for shivanshi,0.31666666666666665,Positive,333
Flipkart Customer,5.0,"This mobile is phenomenal, I like the camera most",this mobile is phenomenal i like the camera most,0.5,Positive,49
Atul Negi,5.0,It looks so good in my hand !.......WAU?,it looks so good in my hand wau,0.7,Positive,40
Feroz Basha,5.0,Loved this product ❤️❤️,loved this product,0.7,Positive,23
ABIR  MODAK,5.0,The camera quality is just awesome ..just like DSLR,the camera quality is just awesome just like dslr,1.0,Positive,51
Krishna kishor Singh,5.0,best camera phone 🥰,best camera phone,1.0,Positive,19
CHETAN  TILWALIA,5.0,Nice 👌,nice,0.6,Positive,6
RAHUL  SEN,5.0,Such a amazing phone 🫶🏻,such a amazing phone,0.30000000000000004,Positive,23
Preenit  Rai,5.0,Camera is good but not too good like other camera phone.Performance is good but missed 90hz display.Battery is good enough for a day use.Sound is quite awesome like no other phonesRest phone is good to go for.,camera is good but not too good like other camera phoneperformance is good but missed hz displaybattery is good enough for a day usesound is quite awesome like no other phonesrest phone is good to go for,0.4930555555555556,Positive,209
SHASHANK PATHAK,5.0,"Great Experience Flipkart I am giving 10 of 10 Camera, Sound, Screen... Transportation Mi note 9 pro Max to Iphone 15 .",great experience flipkart i am giving of camera sound screen transportation mi note pro max to iphone,0.6000000000000001,Positive,119
Sharon Lepcha,5.0,I was sceptical of online purchase but I was wrong I got what I orderedBest phone ever,i was sceptical of online purchase but i was wrong i got what i orderedbest phone ever,-0.5,Negative,86
Mohammad  Mubarak,4.0,Everything lovelyJust for the first time u wont feel much difference b/w pro and non pro model iphones.,everything lovelyjust for the first time u wont feel much difference bw pro and non pro model iphones,0.225,Positive,103
Purnendu Mondal,5.0,Switch from android to iPhone😍Just wow. Camera and battery backup is outstanding for daily use,switch from android to iphonejust wow camera and battery backup is outstanding for daily use,0.19999999999999998,Positive,94
Naveen S,4.0,Very nice product☺️☺️we loved the phone very much,very nice productwe loved the phone very much,0.58,Positive,49
VENKATESH REDDY,5.0,SuperGood Product,supergood product,0.0,Negative,17
Kishu Kumar,5.0,Absolutely premium product..just wow,absolutely premium productjust wow,0.15000000000000002,Positive,36
Dipanjan  Saha,5.0,The photos clicked with the mobile just seems awesome and lively!!,the photos clicked with the mobile just seems awesome and lively,0.5681818181818181,Positive,66
PROSIT DAS,5.0,As Expected 🤣😂🫣,as expected,-0.1,Negative,15
jay singh,5.0,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series.Camera:- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x in portrait mode is definitely a game changer in base varient.Battery:- 3349 mAH is quite better as compared to older versions.Performance:- Apple improve performance by introducing A-16 bionic chip, no doubt performance is on top.Display:- In display we get dynamic island which gives phone mo...",just upgraded from iphone to and i totally loved this seriescamera no doubt iphones camera are best of any other smartphone primary camera is now mp which gives quite sharp images x in portrait mode is definitely a game changer in base varientbattery mah is quite better as compared to older versionsperformance apple improve performance by introducing a bionic chip no doubt performance is on topdisplay in display we get dynamic island which gives phone mo,0.13166666666666668,Positive,496
Anish Sanjay,5.0,Really its the best and richest design 😍,really its the best and richest design,0.6,Positive,40
Mukesh Kumar,5.0,Pic Quality Awesome,pic quality awesome,1.0,Positive,19
Abhijit Kumar,5.0,A perfect n balanced phone ❣️. Was thinking of switching to ios from last two years and yeah its worth buying the black beauty 🖤.,a perfect n balanced phone was thinking of switching to ios from last two years and yeah its worth buying the black beauty,0.2833333333333333,Positive,129
Ayan Das,5.0,Light weight phone. Camera and sound is fine and performance is highly appreciable.,light weight phone camera and sound is fine and performance is highly appreciable,0.3441666666666667,Positive,83
Himanjan Bora,4.0,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously better. The Dynamic Island is alright but not something I cannot live without. Face ID works smoother.I am not into games, so no comments on that. For a regular person, this phone is more than enough. And for people with other Apple devices, this is just an awesome part of the ecosystem.",coming from an iphone the upgrade is not completely unnecessary i can see few daily improvements which impacts me personally the battery back up is a good upgrade the cameras are obviously better the dynamic island is alright but not something i cannot live without face id works smootheri am not into games so no comments on that for a regular person this phone is more than enough and for people with other apple devices this is just an awesome part of the ecosystem,0.19366883116883118,Positive,484
Dr Rohith Gurugubelli,5.0,Great for photography nd videographyEspecially inbuilt 2x zoom helps a lot which is missing in previous basic models,great for photography nd videographyespecially inbuilt x zoom helps a lot which is missing in previous basic models,0.10833333333333336,Positive,116
Nirmala Sahu,5.0,"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is my frist iPhone, migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor.",just ok like any other premium android phone sound is just fantastic and face unlock feature is more convenient than fingerprint scanner battery backup is more than android mah battery this is my frist iphone migrated from android due to chipset heating problem in google tensor chip and samsung exonys processsor,0.2928571428571428,Positive,323
Abnish  Sen,5.0,Super,super,0.3333333333333333,Positive,5
Arpan Dewanjee,4.0,Writing this review after extensive usage. Hope it helps interested buyers decide.1. Display:- 4/5 (Great display but limited to 60Hz in 2023-24)2. Camera:- 4/5 (Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed)3. Performance:- 5/5 (One of the fastest SOC available right now)4. Battery:- 3/5 (Average battery life also charger not included in the box and still charges slowly with the 20w bric...,writing this review after extensive usage hope it helps interested buyers decide display great display but limited to hz in camera great cameras but no telephoto at this price segment but this time apple really nailed it with the series mp shots are very sharp and detailed performance one of the fastest soc available right now battery average battery life also charger not included in the box and still charges slowly with the w bric,0.2043154761904762,Positive,496
Ajmir Hossain,5.0,I have been using this phone since two months.And this phone is amazing.Camera- 10/10Display- 10/10Performance- 10/10Battery- 9.5/10,i have been using this phone since two monthsand this phone is amazingcamera display performance battery,0.0,Negative,132
Nilesh  Yadav,5.0,Best in class..! Superb camera and performance. Fine grip.,best in class superb camera and performance fine grip,0.8055555555555555,Positive,58
jithu reddy,5.0,Performance super,performance super,0.3333333333333333,Positive,17
Urgain Norzin,5.0,It's amazing nd also the delivery boy was very humble.,its amazing nd also the delivery boy was very humble,0.17000000000000004,Positive,54
Surabhi Das,5.0,Awesome...,awesome,1.0,Positive,10
Flipkart Customer,5.0,Best phone ever,best phone ever,1.0,Positive,15
Nitin Kumar,5.0,Very nice product 👌👌👌👌👌,very nice product,0.78,Positive,23
Nandita Panchal,5.0,Brilliant 🫶🏻🤩,brilliant,0.9,Positive,13
Ajay Vishwakarma,5.0,Love the performance 👍,love the performance,0.5,Positive,22
Flipkart Customer,4.0,Mobile battery consumption very fastSo that I charge 3 times to charge in a day,mobile battery consumption very fastso that i charge times to charge in a day,0.2,Positive,79
jeet  sikder,5.0,10/10 I love this  love it very good work,i love this love it very good work,0.6366666666666666,Positive,41
Vanshu  Customer,5.0,"Arrived on launch day and after using it for a day, the iPhone 15 is AMAZING. After almost 5 years it was finally time for me to upgrade from my iPhone XR. Set up was smooth and seamless, especially using iCloud to transfer data over.The display is greatly improved, and it gets a lot brighter which is helpful outdoors. The dynamic island works smoothly even on the standard model's 60Hz screen. This phone's cameras take highly detailed photos even without a dedicated telephoto lens. In terms o...",arrived on launch day and after using it for a day the iphone is amazing after almost years it was finally time for me to upgrade from my iphone xr set up was smooth and seamless especially using icloud to transfer data overthe display is greatly improved and it gets a lot brighter which is helpful outdoors the dynamic island works smoothly even on the standard models hz screen this phones cameras take highly detailed photos even without a dedicated telephoto lens in terms o,0.27,Positive,500
Aniket Zurange,5.0,I order smartphone from Flipkart. This is my 4th phone i order. I have had the best experience every time.,i order smartphone from flipkart this is my th phone i order i have had the best experience every time,1.0,Positive,106
KALPESH SHIRSEKAR,5.0,Coming from iphone 12 mini.Camera is definitely a upgrade over the previous generation.Design outside remains the same. Pastel colours with matte finish.The Dynamic Island is what i liked for the notification part.Processor of previous generation pro models.Overall a value for money among the 15 models.Got it a great deal in flipkart clubbing exchange and bank offers.Delivery was on time.,coming from iphone minicamera is definitely a upgrade over the previous generationdesign outside remains the same pastel colours with matte finishthe dynamic island is what i liked for the notification partprocessor of previous generation pro modelsoverall a value for money among the modelsgot it a great deal in flipkart clubbing exchange and bank offersdelivery was on time,0.13333333333333336,Positive,391
Suraj Mehra,5.0,Nice,nice,0.6,Positive,4
Srasthanibedita  Swain,5.0,Awsm.,awsm,0.0,Negative,5
Nilanjan Pal,5.0,Meet my expectations!,meet my expectations,0.0,Negative,21
Flipkart Customer,5.0,Nice one 🫶,nice one,0.6,Positive,10
Thilak Kumar,4.0,I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for it,i upgraded from iphone to and this phone is awesome worth the money go for it,0.65,Positive,83
Flipkart Customer,4.0,After 10 days of use.Camera 10/10Battery 8/10( I am a light user so battery stands more than 20 hrs)Performance 10/10Display 10/10,after days of usecamera battery i am a light user so battery stands more than hrsperformance display,0.45,Positive,130
Jisan Ali Sekh,5.0,Nice product awesome Experience,nice product awesome experience,0.8,Positive,31
Flipkart Customer,5.0,Superb... Shifted from Android to iPhone 15..classs👍,superb shifted from android to iphone classs,1.0,Positive,52
Ashish  Raj,5.0,Awesome phone ❤️,awesome phone,1.0,Positive,16
Ashwani Kumar,5.0,Fantastic ❤️,fantastic,0.4,Positive,12
Amitabh Srivastava,5.0,"This is an amazing phone and back side of phone is frozen glass which makes it less prone to finger marks while holding. Till now enjoying it, will update with further details after a week.",this is an amazing phone and back side of phone is frozen glass which makes it less prone to finger marks while holding till now enjoying it will update with further details after a week,0.1866666666666667,Positive,189
K.srinath Sri,5.0,Amazing product❤️❤️Best iPhone out of all the iPhone series,amazing productbest iphone out of all the iphone series,0.6000000000000001,Positive,59
K Deepak,5.0,Awesome product,awesome product,1.0,Positive,15
Sachinaaaa,5.0,A fantastic product.I was an iPhone 13 user I have upgraded to this. Brilliant display. I can see a great difference in battery backup. I can also say that the Dynamic Island helps in UI to the users. Looks premium. Price range might drop in a year.Thanks for Flipkart sale days.,a fantastic producti was an iphone user i have upgraded to this brilliant display i can see a great difference in battery backup i can also say that the dynamic island helps in ui to the users looks premium price range might drop in a yearthanks for flipkart sale days,0.525,Positive,279
Ijas S,5.0,"I was looking for a compact phone as daily driver which has a good camera, performance, stability and especially display.. I was hesitant to move from Android to an IOS but yeah I won't regret.. I loved the camera, Loved the display, phone is handy, can use it in one hand, clean software (ofcourse). I love how Apple has given importance to the privacy and security of the user and their devices too. Have been using it regularly with a 6-9 hours of screentime and the battery lasts for more than...",i was looking for a compact phone as daily driver which has a good camera performance stability and especially display i was hesitant to move from android to an ios but yeah i wont regret i loved the camera loved the display phone is handy can use it in one hand clean software ofcourse i love how apple has given importance to the privacy and security of the user and their devices too have been using it regularly with a hours of screentime and the battery lasts for more than,0.4066666666666666,Positive,500
KaryD,5.0,Awestruck by its performance 👌,awestruck by its performance,0.0,Negative,30
Dhanyasri Kannan,5.0,I am sharing my review after using this mobile for 1 week.. really awesome and easy to use.. I like this mobile very much the only drawback is battery life,i am sharing my review after using this mobile for week really awesome and easy to use i like this mobile very much the only drawback is battery life,0.42333333333333334,Positive,155
Dharam Pal Singh,4.0,Nice phone better then I phone 13,nice phone better then i phone,0.55,Positive,33
Dhruv M Golwala,5.0,"Awesome experience entering the apple ecosystem, below are some of the pros and consPros~2) camera is awesome and clicks good photos even in daylight and night3) size is perfect and easy to handle4) Apple ecosystem is the best5) battery charging rate is good and not too slow, and battery backup is also lasting 1 day for a normal usage.6) Dynamic Island is the best upgrade from 14.7) texture and phone build quality has improved a lotCons~1) sometimes phone gets heated but that is ma...",awesome experience entering the apple ecosystem below are some of the pros and conspros camera is awesome and clicks good photos even in daylight and night size is perfect and easy to handle apple ecosystem is the best battery charging rate is good and not too slow and battery backup is also lasting day for a normal usage dynamic island is the best upgrade from texture and phone build quality has improved a lotcons sometimes phone gets heated but that is ma,0.5569444444444446,Positive,489
Vipul  Kumar singh,5.0,Awesome quality,awesome quality,1.0,Positive,15
Raghupathireddy Paindla,5.0,Very good. Happy with the product. Camera quality and performance is amazing.,very good happy with the product camera quality and performance is amazing,0.77,Positive,77
mohit raj,4.0,"I have been an Android phone user since  ever, until now.The matte frosting on the back is marvelous and doesn't attract fingerprints or smudges.I love the form factor as it's one hand friendly.For better gaming experience users should opt for the plus size.The screen is great with excellent outdoor visibility. The battery life is crazy good especially the standby time. Barely sips anything overnight. I am using an Android fast charger to charge this and the charging time is decent, no is...",i have been an android phone user since ever until nowthe matte frosting on the back is marvelous and doesnt attract fingerprints or smudgesi love the form factor as its one hand friendlyfor better gaming experience users should opt for the plus sizethe screen is great with excellent outdoor visibility the battery life is crazy good especially the standby time barely sips anything overnight i am using an android fast charger to charge this and the charging time is decent no is,0.3597222222222222,Positive,496
Arun Babu,5.0,One year use 90% battery 🪫 health decreased.iam never 👎 updating software upgrades sound quality the best ever camera 📷  outdoor camera quality bestIndoor full darkness handling very well nice weight management,one year use battery health decreasediam never updating software upgrades sound quality the best ever camera outdoor camera quality bestindoor full darkness handling very well nice weight management,0.51,Positive,210
Munish  Choudhary,5.0,Camera is good,camera is good,0.7,Positive,14
Baban Dey,5.0,"Great product,must buy if you are iPhone lovers",great productmust buy if you are iphone lovers,0.8,Positive,47
Flipkart Customer,5.0,Goood phone,goood phone,0.0,Negative,11
shanavas vn,5.0,SUPER12 MINI TO 15 😍😍😍,super mini to,0.3333333333333333,Positive,22
Mohammad Amir,3.0,Design and performance is good. But somehow I felt the quality and standard is not the same as it used to be. It does heat up while charging and prolonged usage. This is unexpected and unacceptable. Also there are connectivity issues with Apple CarPlay.,design and performance is good but somehow i felt the quality and standard is not the same as it used to be it does heat up while charging and prolonged usage this is unexpected and unacceptable also there are connectivity issues with apple carplay,0.19999999999999998,Positive,253
Dr Babu  Mandal,5.0,Marvellous camera. Light weight. Perfect handy.Used every pro version before 15.But trust me . I personally feel this 15 is at par with its pro version camera .,marvellous camera light weight perfect handyused every pro version before but trust me i personally feel this is at par with its pro version camera,0.4666666666666666,Positive,160
Utpal  Mondal,5.0,This is undoubtedly the best in the market! Feels premium and also the performance is at par excellence! A beast in terms of camera quality and battery backup!,this is undoubtedly the best in the market feels premium and also the performance is at par excellence a beast in terms of camera quality and battery backup,1.0,Positive,159
Mohd Siddique,5.0,The colour blue is so good and the battery life is so long as compared to 14 the camera is much better than 14series best phone I experienced very good,the colour blue is so good and the battery life is so long as compared to the camera is much better than series best phone i experienced very good,0.5514285714285715,Positive,151
Shrikant Panigrahi,5.0,Black one is classy. Photos are much better than 13,black one is classy photos are much better than,0.14444444444444446,Positive,51
Anurag Kumar,5.0,Awesome look and feel,awesome look and feel,1.0,Positive,21
Flipkart Customer,5.0,I bought at 53k for my Father.. He really liked the phone. Best phone at this price range.Camera : 5/5Display : 5/5Battery : 4/5Performance : 5/5Only cons is that it still comes with 60Hz display and battery does not last long.,i bought at k for my father he really liked the phone best phone at this price rangecamera display battery performance only cons is that it still comes with hz display and battery does not last long,0.31,Positive,227
Amaresh Panda,5.0,Overall good experience first time with flipkart from buying till delivery. Battery 4.5 and colour wise 4.5 rest all 5 out 5.,overall good experience first time with flipkart from buying till delivery battery and colour wise rest all out,0.4125,Positive,125
A L Naveen Kumar,,"Phone is heating up too much, even after multiple software upgrades, not suggest to buy, please ignore",phone is heating up too much even after multiple software upgrades not suggest to buy please ignore,0.1,Positive,102
Vikash Kumar,4.0,Just luking like a aww,just luking like a aww,0.3,Positive,22
Mithilesh Kumar  Sharma,5.0,Kidney to gyaOne kidney for i phoneAnd one for i phone accessories,kidney to gyaone kidney for i phoneand one for i phone accessories,0.0,Negative,66
ALIM  Khan,5.0,Good over,good over,0.7,Positive,9
Rajiv Bhardwaj,4.0,Bought 2 of them In diwali sale for 58k each.Camera is great. A very good display and performance is good as well. But battery drains very fast and heating issue is there sometimes otherwise it's a great deal,bought of them in diwali sale for k eachcamera is great a very good display and performance is good as well but battery drains very fast and heating issue is there sometimes otherwise its a great deal,0.694,Positive,208
Ravi Gangrale,5.0,Great camera quality 😍😍,great camera quality,0.8,Positive,23
Prasanth Rajendran,5.0,Handy,handy,0.6,Positive,5
Leo Jonas Doyom,5.0,Great deviceThe 60hz is not a big deal like the influencers says that it is.,great devicethe hz is not a big deal like the influencers says that it is,0.4,Positive,76
Flipkart Customer,5.0,Good,good,0.7,Positive,4
Rohit Semwal,5.0,You have to charge it 3 times atleast if you use it as a primary phoneOtherwise the phone is yoo,you have to charge it times atleast if you use it as a primary phoneotherwise the phone is yoo,0.4,Positive,96
Ogam  Tayeng,3.0,"After 4+ months.Cons:1. Still heats eats up a lot!!!2. Wifi connection is very poor in this model, it fails to connect most of the time automatically where I manually need to search and join the wifi and then again it automatically disconnects. I have an iPad air which works fine, maybe it's a range issue.3. My keyboard switches automatically from Microsoft SwiftKey to stock ios keyboard. Idk what's the issue??4. Need to switch to airplane mode after going out from the wifi range otherwi...",after monthscons still heats eats up a lot wifi connection is very poor in this model it fails to connect most of the time automatically where i manually need to search and join the wifi and then again it automatically disconnects i have an ipad air which works fine maybe its a range issue my keyboard switches automatically from microsoft swiftkey to stock ios keyboard idk whats the issue need to switch to airplane mode after going out from the wifi range otherwi,-0.025833333333333333,Negative,495
Flipkart Customer,5.0,superb phone,superb phone,1.0,Positive,12
ATHAR  faisal,3.0,"To,Dear Flipkart Team, I hope this email finds you well. I am writing to bring to your attention an issue I encountered during my recent access to Urly on 25th September 2024 through my Plus membership. On the night of 25th September, I eagerly awaited the bigbillion sale and placed an order for an iPhone 15 using my HDFC credit card. However, despite multiple attempts, the order did not go through. I eventually made the full payment via Google Pay, but noticed discrepancies in the amount ch...",todear flipkart team i hope this email finds you well i am writing to bring to your attention an issue i encountered during my recent access to urly on th september through my plus membership on the night of th september i eagerly awaited the bigbillion sale and placed an order for an iphone using my hdfc credit card however despite multiple attempts the order did not go through i eventually made the full payment via google pay but noticed discrepancies in the amount ch,0.11666666666666665,Positive,499
Charan,3.0,Mobile heats a lot and battery drain fast,mobile heats a lot and battery drain fast,0.2,Positive,41
Vicky  Rathore,5.0,Great purchase and fantastic design and camera. Battery could be better but overall good Phone.,great purchase and fantastic design and camera battery could be better but overall good phone,0.4800000000000001,Positive,95
Abhishek Prajapati,5.0,"All is well, but battery health is draining very fast.",all is well but battery health is draining very fast,0.26,Positive,54
Aravind Ponugoti,5.0,"Perfect upgrade from 13.. An incredible device that delivers everything I could want. The design is sleek and lightweight, with the new Dynamic Island feature. The camera is a standout, photos and videos look professional with excellent low-light performance and vibrant colors.The A16 Bionic chip ensures lightning-fast performance, whether I'm gaming, editing videos, or running multiple apps. Battery life is also impressive, easily lasting a full day with moderate use.",perfect upgrade from an incredible device that delivers everything i could want the design is sleek and lightweight with the new dynamic island feature the camera is a standout photos and videos look professional with excellent lowlight performance and vibrant colorsthe a bionic chip ensures lightningfast performance whether im gaming editing videos or running multiple apps battery life is also impressive easily lasting a full day with moderate use,0.3877525252525252,Positive,473
Flipkart Customer,5.0,Probably best phone to buy under 53kOverall good balanced phoneBeing a ios device it'll never give you the fun of an Android device. Buy only if you want it for professional reasons,probably best phone to buy under koverall good balanced phonebeing a ios device itll never give you the fun of an android device buy only if you want it for professional reasons,0.42000000000000004,Positive,181
Abi Yuvan,5.0,Battery only drain fastBattery health 98 at two monthBut worth,battery only drain fastbattery health at two monthbut worth,0.15,Positive,62
Adhitya Ramakrishnan,5.0,Everything is awesome! Great phone..,everything is awesome great phone,0.9,Positive,36
Atul kumar Soni,5.0,"This is the first time I've purchased iphone and it's great.Performance, speed and the feature is good and new update of the IOS having great feature and customizations in the UI.",this is the first time ive purchased iphone and its greatperformance speed and the feature is good and new update of the ios having great feature and customizations in the ui,0.4715909090909091,Positive,179
Lokesh  Alawa,5.0,good,good,0.7,Positive,4
